,arrestnumber,page_num,charges,charge_type,charge_counts,charge_IBRcode,charge_statutenumber,charge_warrantdate,chargenum
1343,320314,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),10/07/2020,2
1344,317228,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),12/11/2019,1
1345,326599,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,10/17/2021,1
1346,326599,0.0,Hit And Run (misdemeanor),Misd,1.0,9914,20-166(C),10/17/2021,2
1347,326599,0.0,Drive While License Revoked Not Impaired RevBased,Misd,1.0,9914,20-28(A),10/17/2021,3
1348,328175,0.0,Assault With Deadly Weapon Inflicting SeriousInjury,Fel,1.0,13A,14-32(B),02/12/2022,1
1349,328177,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),12/10/2021,1
1350,325727,0.0,Misuse Of 911 System,Misd,1.0,90Z,14-111.4,08/16/2021,1
1351,329937,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),04/04/2022,1
1352,330728,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),05/25/2022,1
1353,330727,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),04/26/2022,1
1354,312719,0.0,Indecent Exposure,Misd,1.0,90C,14-190.9,07/24/2019,1
1355,312719,0.0,City Ord Not In Table (must Specify Charge InNotes),Misd,1.0,90Z,CO GENERAL,07/24/2019,2
1356,312972,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),08/03/2019,1
1357,312972,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),08/03/2019,2
1358,327384,0.0,Robbery With Firearms Or Other DangerousWeapons,Fel,1.0,120,14-87,12/13/2021,1
1359,327384,0.0,Assault With Deadly Weapon On HandicappedPerson,Fel,1.0,13A,14-32.1(E1),12/13/2021,2
1360,325721,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,08/05/2021,1
1361,325721,0.0,Stolen Property - Buying/receiving,Fel,1.0,280,14-71,08/05/2021,2
1362,312785,0.0,Possess Control Substance Schedule Iv,Fel,1.0,35A,90-95(A3)4,07/28/2019,1
1363,312785,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,07/28/2019,2
1364,312785,0.0,Maintain Dwelling/veh For Controlled Substance,Fel,1.0,35A,90-108(A7),07/28/2019,3
1365,312785,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,07/28/2019,4
1366,324684,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,06/03/2021,1
1367,321630,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,12/21/2020,1
1368,327518,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,12/23/2021,1
1369,327518,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,12/23/2021,2
1370,327518,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,12/23/2021,3
1371,321663,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,01/16/2021,1
1372,321663,0.0,Possess Control Substance Schedule Ii,Fel,1.0,35A,90-95(A3)2,01/16/2021,2
1373,321663,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,01/16/2021,3
1374,321663,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,01/16/2021,4
1375,321663,0.0,Speed To Elude Arrest,Fel,1.0,9914,20-141.5,01/16/2021,5
1376,321663,0.0,Drive While License Revoked Not ImpairedRev Based,Misd,1.0,9914,20-28(A),01/16/2021,6
1377,321672,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,01/13/2021,1
1378,321673,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,12/31/2020,1
1379,325010,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,06/29/2021,1
1380,325010,0.0,Possess Control Substance Schedule Ii,Fel,1.0,35A,90-95(A3)2,06/29/2021,2
1381,326247,0.0,Possess Control Substance Schedule Ii,Fel,1.0,35A,90-95(A3)2,09/24/2021,1
1382,326248,0.0,Receiving Or Transferring Stolen Vehicles,Fel,1.0,280,14-71.2,09/24/2021,1
1383,307607,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,11/07/2018,1
1384,318440,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),04/26/2019,1
1385,318441,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),03/04/2019,1
1386,318442,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,04/11/2017,1
1387,322167,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),02/21/2021,1
1388,330584,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),02/23/2022,1
1389,330584,0.0,Larceny After Burglary/b&e,Fel,1.0,23H,14-72(B2),02/23/2022,2
1390,330584,0.0,Vandalism-to Real Property Willful And WantonInjury,Misd,1.0,290,14-127,02/23/2022,3
1391,327456,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),12/19/2021,1
1392,327831,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),01/20/2022,1
1393,327831,0.0,Identity Theft,Fel,1.0,26F,14-113.20,01/20/2022,2
1394,327830,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),07/22/2021,1
1395,309245,0.0,Stolen Property - Buying/receiving,Fel,1.0,280,14-71,02/03/2019,1
1396,309245,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,02/03/2019,2
1397,309245,0.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,02/03/2019,3
1398,309245,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,02/03/2019,4
1399,324780,0.0,Vandalism-to Real Property Willful And WantonInjury,Misd,1.0,290,14-127,06/10/2021,1
1400,324780,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,06/10/2021,2
1401,324154,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),06/29/2017,1
1402,324153,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),05/01/2021,1
1403,324053,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),04/24/2021,1
1404,330385,0.0,Probation Violation,Misd,1.0,90Z,15A-1345,01/06/2022,1
1405,330385,0.0,Probation Violation,Fel,1.0,90Z,15A-1345,12/14/2021,2
1406,330385,0.0,Fail To Appear-release Order,Misd,6.0,90Z,15A-305(B)(2),12/10/2021,3
1407,325632,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),08/10/2021,1
1408,326208,0.0,Unauthorized Use Of Motor Vehicle,Misd,1.0,90Z,14-72.2,09/20/2021,1
1409,314343,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),10/07/2019,1
1410,314343,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,10/07/2019,2
1411,314343,0.0,Child Abuse A General Misdemeanor,Misd,1.0,90F,14-318.2,10/07/2019,3
1412,327125,0.0,Common Law Robbery,Fel,1.0,120,14-87.1,11/05/2021,1
1413,327125,0.0,Assault On Female,Misd,2.0,13B,14-33(C2),11/05/2021,2
1414,327125,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,11/05/2021,3
1415,327125,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,11/05/2021,4
1416,327125,0.0,Accessing Computer Without Authorization,Misd,1.0,90Z,14-454(B),11/05/2021,5
1417,314808,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,08/14/2019,1
1418,314808,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,08/26/2019,2
1419,320219,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,10/03/2020,1
1420,320219,0.0,Conspiracy To Commit Misdemeanor,Misd,1.0,90Z,14-2.4(B),10/03/2020,2
1421,320212,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,10/03/2020,1
1422,324992,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,06/27/2021,1
1423,325587,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),08/06/2021,1
1424,325587,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),08/06/2021,2
1425,325587,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),08/06/2021,3
1426,330163,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,04/17/2022,1
1427,307967,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,11/29/2018,1
1428,327014,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),11/13/2020,1
1429,327014,0.0,Injury To Personal Property,Misd,1.0,290,14-160,11/13/2020,2
1430,322745,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,04/04/2021,1
1431,318534,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,05/26/2020,1
1432,318534,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,05/26/2020,2
1433,318534,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,05/26/2020,3
1434,325749,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,08/17/2021,1
1435,320350,0.0,True Bill Of Indictment,Misd,1.0,90Z,15A-305(B)(1),10/05/2020,1
1436,308048,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),07/10/2018,1
1437,308048,0.0,Fail To Appear-release Order,Fel,1.0,90Z,15A-305(B)(2),07/10/2018,2
1438,308048,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,08/02/2018,3
1439,308048,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,08/17/2018,4
1440,321353,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,12/29/2020,1
1441,321355,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),01/21/2020,1
1442,324166,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,05/01/2021,1
1443,324167,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,04/18/2021,1
1444,324167,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,04/18/2021,2
1445,324167,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,04/18/2021,3
1446,324167,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,04/18/2021,4
1447,324167,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,04/18/2021,5
1448,310537,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,04/05/2019,1
1449,310537,0.0,Drive While License Revoked For Impaired DrivAft Rev Notice,Misd,1.0,9914,20-28(A3)(1),04/05/2019,2
1450,330627,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),04/29/2022,1
1451,307624,0.0,Shoplifting,Misd,1.0,23C,14-72.1,11/09/2018,1
1452,327303,0.0,Violate Domestic Violence Protective Order,Misd,1.0,90Z,50B-4.1,12/06/2021,1
1453,310245,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),03/28/2019,1
1454,327785,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,01/10/2022,1
1455,327785,0.0,Injury To Personal Property,Misd,1.0,290,14-160,01/10/2022,2
1456,327785,0.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,01/10/2022,3
1457,329548,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,03/03/2022,1
1458,329548,0.0,Identity Theft,Fel,2.0,26F,14-113.20,03/03/2022,2
1459,326350,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,09/28/2021,1
1460,326350,0.0,Larceny Of Firearm,Fel,1.0,23H,14-72(B4),09/28/2021,2
1461,308758,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),11/11/2018,1
1462,308758,0.0,Larceny From Person,Fel,1.0,23H,14-72(B1),11/11/2018,2
1463,308758,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),12/19/2018,3
1464,308758,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),12/19/2018,4
1465,308758,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),12/19/2018,5
1466,308758,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),01/08/2019,6
1467,308758,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),11/29/2018,7
1468,308758,0.0,Probation Violation,Misd,1.0,90Z,15A-1345,11/13/2018,8
1469,308758,0.0,Probation Violation,Misd,1.0,90Z,15A-1345,11/13/2018,9
1470,316729,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),01/24/2020,1
1471,316907,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,02/07/2020,1
1472,309660,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,02/27/2019,1
1473,309661,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),02/22/2019,1
1474,309661,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),02/21/2019,2
1475,316501,0.0,Assault On Female,Misd,2.0,13B,14-33(C2),02/12/2019,1
1476,316501,0.0,Injury To Personal Property,Misd,1.0,290,14-160,02/26/2019,2
1477,318163,0.0,Vandalism-to Real Property Willful And WantonInjury,Misd,1.0,290,14-127,03/31/2020,1
1478,318163,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,03/31/2020,2
1479,322820,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),04/01/2021,1
1480,322820,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),04/01/2021,2
1481,322820,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),04/06/2021,3
1482,322820,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),04/06/2021,4
1483,330724,0.0,Assault By Strangulation Inflict Physical Injury,Fel,1.0,13A,14-32.4(B),05/14/2022,1
1484,330724,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),05/14/2022,2
1485,330724,0.0,Breaking And Entering Building  (misdemeanor),Misd,1.0,220,14-54(B),05/14/2022,3
1486,318529,0.0,Injury To Personal Property,Misd,1.0,290,14-160,04/12/2020,1
1487,312067,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,06/22/2019,1
1488,312067,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,06/22/2019,2
1489,314015,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,06/22/2019,1
1490,314015,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,06/22/2019,2
1491,314424,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),10/08/2019,1
1492,314424,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),10/08/2019,2
1493,314424,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),10/09/2019,3
1494,326943,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),11/08/2021,1
1495,324794,0.0,Assault By Strangulation Inflict Physical Injury,Fel,1.0,13A,14-32.4(B),05/19/2021,1
1496,324794,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),05/19/2021,2
1497,312862,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,07/25/2019,1
1498,312862,0.0,Sell/deliver Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)S2,07/25/2019,2
1499,312862,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,07/25/2019,3
1500,312862,0.0,Conspiracy To Commit Felony,Fel,1.0,90Z,14-2.4(A),07/25/2019,4
1501,326502,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,10/09/2021,1
1502,310024,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,02/13/2019,1
1503,318741,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,04/20/2020,1
1504,307903,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,11/17/2018,1
1505,315055,0.0,Shoplifting,Misd,1.0,23C,14-72.1,11/10/2019,1
1506,316655,0.0,Possess Marijuana Up To 1/2 Oz,Misd,1.0,35A,90-95(D4),01/24/2020,1
1507,316655,0.0,No Financial Responsibility,Misd,1.0,9914,20-313,01/24/2020,2
1508,328129,0.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,01/27/2022,1
1509,328129,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,01/27/2022,2
1510,330642,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,05/20/2022,1
1511,318245,0.0,Larceny By Servants And Other Employees,Fel,1.0,270,14-74,03/14/2020,1
1512,318246,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),05/13/2020,1
1513,318246,0.0,Larceny (felony),Fel,1.0,23H,14-72(A) F,05/13/2020,2
1514,318246,0.0,Vandalism-to Real Property Willful And WantonInjury,Misd,1.0,290,14-127,05/13/2020,3
1515,327944,0.0,Possess Marijuana Up To 1/2 Oz,Misd,1.0,35A,90-95(D4),01/28/2022,1
1516,309719,0.0,Possess Marijuana Up To 1/2 Oz,Misd,1.0,35A,90-95(D4),03/02/2019,1
1517,322777,0.0,Interfering With Emergency Communication,Misd,1.0,90Z,14-286.2,04/06/2021,1
1518,310772,0.0,Defrauding Innkeeper Or Campground Owner,Misd,1.0,26A,14-110,04/24/2019,1
1519,311042,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,05/06/2019,1
1520,311042,0.0,Financial Transaction Card Takes/obtains,Fel,3.0,26A,14-113.9(1),04/25/2019,2
1521,311850,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,06/11/2019,1
1522,311850,0.0,Larceny (felony),Fel,1.0,23H,14-72(A) F,06/11/2019,2
1523,311850,0.0,Financial Transaction Card Takes/obtains,Fel,2.0,26A,14-113.9(1),06/11/2019,3
1524,311856,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),06/12/2019,1
1525,311856,0.0,Battery On An Unborn Child,Misd,1.0,13B,14-23.6,06/12/2019,2
1526,311856,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,06/12/2019,3
1527,326736,0.0,Common Law Robbery,Fel,1.0,120,14-87.1,10/19/2021,1
1528,326736,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),10/19/2021,2
1529,324939,0.0,Fail To Obey Traffic Control Device,Misd,1.0,9914,20-158,06/22/2021,1
1530,314108,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,08/29/2019,1
1531,314108,0.0,Uttering A Forged Instrument,Fel,1.0,250,14-120,08/29/2019,2
1532,314282,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),10/05/2019,1
1533,314282,0.0,Injury To Personal Property,Misd,1.0,290,14-160,10/05/2019,2
1534,314282,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,10/05/2019,3
1535,314710,0.0,Breaking And Entering Building  (misdemeanor),Misd,1.0,220,14-54(B),10/24/2019,1
1536,314710,0.0,Injury To Personal Property,Misd,1.0,290,14-160,10/24/2019,2
1537,314710,0.0,Possess Control Substance Schedule Ii,Fel,1.0,35A,90-95(A3)2,10/24/2019,3
1538,313016,0.0,Injury To Personal Property,Misd,1.0,290,14-160,05/17/2019,1
1539,313013,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),07/28/2019,1
1540,313013,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,07/28/2019,2
1541,312567,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),06/18/2019,1
1542,312567,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,06/18/2019,2
1543,312567,0.0,Vandalism-to Real Property Willful And WantonInjury,Misd,1.0,290,14-127,06/18/2019,3
1544,322549,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),08/15/2020,1
1545,322549,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,08/15/2020,2
1546,322549,0.0,Interfering With Emergency Communication,Misd,1.0,90Z,14-286.2,08/15/2020,3
1547,320291,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),10/08/2020,1
1548,320292,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),07/20/2020,1
1549,324312,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,07/02/2019,1
1550,326131,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,06/14/2021,1
1551,326132,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),06/25/2021,1
1552,322247,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,02/27/2021,1
1553,322247,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,02/27/2021,2
1554,329335,0.0,Assault By Strangulation Inflict Physical Injury,Fel,1.0,13A,14-32.4(B),02/22/2022,1
1555,329335,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),02/22/2022,2
1556,322604,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),03/24/2021,1
1557,309989,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,03/10/2019,1
1558,310638,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),03/22/2019,1
1559,310638,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,03/22/2019,2
1560,310639,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),03/22/2019,1
1561,310639,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,03/22/2019,2
1562,310641,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),03/22/2019,1
1563,310641,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,03/22/2019,2
1564,310642,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),03/22/2019,1
1565,310642,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,03/22/2019,2
1566,310643,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),03/22/2019,1
1567,310643,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,03/22/2019,2
1568,310644,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),03/22/2019,1
1569,310644,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,03/22/2019,2
1570,311283,0.0,No Operator License,Misd,1.0,9914,20-7(A),05/16/2019,1
1571,311022,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),04/29/2019,1
1572,311022,0.0,Larceny Of Firearm,Fel,1.0,23H,14-72(B4),04/29/2019,2
1573,311022,0.0,Financial Transaction Card Takes/obtains,Fel,1.0,26A,14-113.9(1),04/29/2019,3
1574,311022,0.0,Obtaining Property By False Pretenses,Fel,2.0,26A,14-100,04/29/2019,4
1575,311022,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,04/29/2019,5
1576,311022,0.0,Conspiracy To Commit Felony,Fel,1.0,90Z,14-2.4(A),04/29/2019,6
1577,311022,0.0,Conspiracy To Commit Felony,Fel,1.0,90Z,14-2.4(A),04/29/2019,7
1578,328192,0.0,Shoplifting,Misd,1.0,23C,14-72.1,02/13/2022,1
1579,324697,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,06/05/2021,1
1580,324697,0.0,Failure To Stop At Stop Sign At Intersection,Misd,1.0,9914,20-158(B1),06/05/2021,2
1581,328152,0.0,Injury To Personal Property,Misd,3.0,290,14-160,02/11/2022,1
1582,328152,0.0,Possess Control Substance Schedule Ii,Fel,1.0,35A,90-95(A3)2,02/11/2022,2
1583,328152,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,02/11/2022,3
1584,328161,0.0,Injury To Personal Property,Misd,2.0,290,14-160,02/11/2022,1
1585,328162,0.0,Injury To Personal Property,Misd,1.0,290,14-160,02/11/2022,1
1586,328162,0.0,Manufacture Control Substance Schedule Iii,Fel,1.0,35A,90-95(A1)M3,02/11/2022,2
1587,328162,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,02/11/2022,3
1588,311982,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),05/10/2019,1
1589,319224,0.0,Possess Control Substance Schedule Ii,Fel,1.0,35A,90-95(A3)2,07/22/2020,1
1590,319224,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,07/22/2020,2
1591,319224,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,07/22/2020,3
1592,325140,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),07/06/2021,1
1593,329381,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),02/20/2022,1
1594,329381,0.0,Breaking And Entering Building  (misdemeanor),Misd,1.0,220,14-54(B),02/20/2022,2
1595,329381,0.0,Injury To Personal Property,Misd,1.0,290,14-160,02/20/2022,3
1596,324619,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),05/13/2021,1
1597,318339,0.0,Unauthorized Use Of Motor Vehicle,Misd,1.0,90Z,14-72.2,05/20/2020,1
1598,319276,0.0,Unauthorized Use Of Motor Vehicle,Misd,1.0,90Z,14-72.2,07/24/2020,1
1599,330607,0.0,Alcoholic Beverages Possess Consume In PublicBldg And Parks,Misd,1.0,90Z,CO 38-21,05/19/2022,1
1600,314809,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,09/14/2019,1
1601,314809,0.0,Drive While License Revoked Not Impaired RevBased,Misd,1.0,9914,20-28(A),09/14/2019,2
1602,330166,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),04/19/2022,1
1603,319759,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),08/28/2020,1
1604,320157,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,08/24/2020,1
1605,324203,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,05/03/2021,1
1606,315379,0.0,Assault By Pointing A Gun,Misd,1.0,13A,14-34,11/25/2019,1
1607,315379,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,11/25/2019,2
1608,315379,0.0,Injury To Personal Property,Misd,1.0,290,14-160,11/25/2019,3
1609,330255,0.0,Murder (first Degree),Fel,2.0,09A,14-17FIR,03/02/2022,1
1610,330255,0.0,Attempted Murder (non-specified),Fel,5.0,13A,14-17*,03/02/2022,2
1611,309370,0.0,Possess Marijuana Up To 1/2 Oz,Misd,1.0,35A,90-95(D4),02/12/2019,1
1612,309370,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,02/12/2019,2
1613,308832,0.0,Conspiracy To Commit Felony,Fel,1.0,90Z,14-2.4(A),01/12/2019,1
1614,316827,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),02/02/2020,1
1615,316827,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/02/2020,2
1616,316827,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,02/02/2020,3
